study_hours,attendance,group_discussion,previous_test_score,final_exam_pass
5.99,80,yes,83,Pass
4.72,83,no,64,Pass
6.3,91,yes,68,Pass
8.05,91,no,79,Pass
4.53,54,yes,65,Pass
4.53,61,no,72,Fail
8.16,83,yes,77,Pass
6.53,83,no,74,Pass
4.06,83,yes,69,Pass
6.09,100,no,92,Pass
4.07,84,yes,84,Pass
4.07,92,no,64,Pass
5.48,89,yes,51,Pass
1.17,85,no,75,Fail
1.55,70,yes,68,Fail
3.88,86,no,91,Pass
2.97,63,yes,80,Pass
5.63,71,no,76,Pass
3.18,68,yes,65,Fail
2.18,76,no,52,Fail
7.93,100,yes,62,Pass
4.55,47,no,72,Fail
5.14,85,yes,39,Fail
2.15,51,no,84,Fail
3.91,68,yes,96,Pass
5.22,91,no,36,Fail
2.7,76,yes,44,Fail
5.75,59,no,68,Pass
3.8,64,yes,56,Pass
4.42,85,no,69,Pass
3.8,64,yes,64,Pass
8.7,78,no,50,Pass
4.97,76,yes,84,Pass
2.88,65,yes,72,Fail
6.65,100,no,57,Pass
2.56,85,yes,88,Pass
5.42,45,no,57,Pass
1.08,78,yes,46,Fail
2.34,65,no,68,Fail
5.39,88,yes,70,Pass
6.48,63,no,73,Pass
5.34,73,yes,75,Pass
4.77,83,no,73,Pass
4.4,88,yes,72,Pass
2.04,57,no,56,Fail
3.56,70,no,55,Fail
4.08,68,yes,76,Pass
7.11,65,no,69,Pass
5.69,100,yes,77,Pass
1.47,81,no,39,Fail
5.65,56,yes,57,Pass
4.23,89,no,94,Pass
3.65,100,yes,73,Pass
6.22,90,no,69,Pass
7.06,52,yes,76,Pass
6.86,68,no,98,Pass
3.32,94,yes,95,Pass
4.38,64,no,41,Pass
5.66,82,yes,47,Pass
6.95,87,no,41,Pass
4.04,61,yes,54,Fail
4.63,74,no,66,Pass
2.79,30,yes,69,Fail
2.61,60,no,42,Fail
6.63,71,yes,37,Pass
7.71,56,no,54,Pass
4.86,99,yes,79,Pass
7.01,54,no,81,Pass
5.72,68,yes,91,Pass
3.71,77,no,65,Pass
5.72,97,yes,77,Pass
8.08,53,no,80,Pass
4.93,92,yes,58,Pass
8.13,75,no,71,Pass
0,60,yes,75,Fail
6.64,82,no,51,Pass
5.17,78,yes,90,Pass
4.4,66,no,64,Pass
5.18,76,yes,66,Pass
1.02,69,no,51,Fail
4.56,77,yes,53,Pass
5.71,85,no,32,Fail
7.96,99,yes,66,Pass
3.96,56,no,100,Pass
3.38,100,yes,50,Pass
4,46,no,100,Pass
6.83,73,yes,86,Pass
5.66,84,no,58,Pass
3.94,79,yes,65,Pass
6.03,66,no,63,Pass
5.19,72,yes,91,Pass
6.94,68,no,73,Pass
3.6,66,yes,83,Pass
4.34,88,no,70,Pass
4.22,80,yes,63,Pass
2.07,65,no,70,Fail
5.59,88,yes,59,Pass
5.52,80,yes,43,Pass
5.01,87,no,77,Pass
4.53,84,yes,42,Fail
2.17,63,no,61,Pass
4.16,67,yes,58,Fail
4.31,86,no,75,Pass
3.4,84,yes,88,Pass
4.68,75,no,83,Pass
5.81,77,yes,75,Pass
8.77,94,no,56,Pass
5.35,66,yes,62,Fail
5.52,83,no,60,Pass
4.85,72,yes,58,Pass
1.16,72,no,59,Fail
4.95,91,yes,59,Pass
5.12,87,no,58,Pass
9.93,87,yes,79,Pass
4.62,95,no,49,Pass
5.6,75,yes,54,Pass
4.93,85,no,41,Fail
2.66,70,yes,86,Fail
7.29,80,no,53,Pass
6.5,73,yes,75,Pass
6.58,76,no,72,Pass
3.18,84,yes,85,Pass
7.81,63,no,62,Pass
2.2,100,yes,51,Pass
6.17,60,no,42,Fail
9.38,57,yes,23,Pass
3.02,92,no,67,Pass
3.87,87,yes,77,Pass
5.2,84,no,72,Pass
3.99,84,yes,42,Fail
1.9,75,no,81,Fail
5.14,62,yes,55,Pass
2.88,76,no,51,Fail
5.95,65,yes,54,Pass
3.16,90,no,66,Pass
8.1,73,yes,43,Pass
3.43,63,no,64,Fail
4.36,70,yes,71,Pass
6.63,81,no,82,Pass
2.54,67,yes,68,Pass
5.45,63,no,45,Fail
7.61,79,yes,67,Pass
